clg_name,rating,fees,pkg
"Government College of Engineering - [GCES] Srirangam, Tiruchirappalli",7.1,50000,1200000
"Travancore Engineering College - [TEC] Oyoor, Kollam",7.1,50000,1000000
"RRASE College of Engineering, Chennai",7.1,50000,200000
"Sri Lakshmi Ammal Engineering College - [SLAEC], Chennai",7.1,50000,360000
"CK College of Engineering and Technology - [CKCET], Cuddalore",7.1,50000,325000
"Marthandam College of Engineering and Technology - [MACET], Kanyakumari",7.1,55000,1000000
"Bhopal Institute of Technology & Science - [BITS], Bhopal",7.1,55000,500000
"Pallavan College of Engineering - [PCE], Kanchipuram",7.1,55000,385000
"A.V.C College of Engineering - [AVCCE], Nagapattinam",7.1,55500,5000000
"Shivani Engineering College - [SEC], Tiruchirappalli",7.1,56500,1000000
"Sri Revana Siddeshwara Institute of Technology - [SRSIT], Bangalore",7.1,58750,650000
"R.M.K. College of Engineering and Technology - [RMKCET], Thiruvallur",7.1,60000,2963000
"Theem College of Engineering - [TCOE], Palghar",7.1,64000,4400000
"MVR College of Engineering and Technology - [MVRCET], Krishna",7.1,64800,170000
"Jyothishmathi Institute of Technology and Science - [JITS], Karimnagar",7.1,65000,240000
"Om Engineering College - [OEC], Junagadh",7.1,67000,1300000
"Buddha Institute of Technology- [BIT], Gorakhpur",7.1,68057,504000
"Jai Parkash Mukand Lal Innovative Engineering & Technology Institute - [JMIETI], Yamuna Nagar",7.1,68750,385000
"Manipur Institute of Technology - [MIT], Imphal",7.1,69200,350000
"AVS Engineering College - [AVSEC], Salem",7.1,70000,7000000
"Shridevi Institute of Engineering and Technology - [SIET], Tumkur",7.1,72500,750000
"Technocrats Institute of Technology - [TIT] (Excellence), Bhopal",7.1,74400,1600000
"Vimal Jyothi Engineering College - [VJEC], Kannur",7.1,75000,1000000
"Bearys Institute of Technology-[BIT], Mangalore",7.1,75000,1000000
"Modern Institute of Technology and Research Centre -[MITRC], Alwar",7.1,77750,1200000
"Jawaharlal Darda Institute of Engineering and Technology - [JDIET], Yavatmal",7.1,80000,6100000
"Babu Banarasi Das Institute of Technology - [BBDIT], Ghaziabad",7.1,80000,450000
"Raja Balwant Singh Engineering Technical Campus - [FETRBS], Agra",7.1,81865,2300000
"Sree Dattha Institute of Engineering and Science - [SDES], Rangareddy",7.1,82000,400000
"Jaipur Institute of Technology Group of Institution, Jaipur",7.1,84500,900000
"Park College of Engineering and Technology - [PCET], Coimbatore",7.1,87000,350000
"Vivekananda Institute of Technology - [VIT], Jaipur",7.1,88000,711000
"Sri Indu Institute of Engineering & Technology - [SIIET], Hyderabad",7.1,93000,416000
"Bansal Institute of Engineering and Technology - [BIET], Lucknow",7.1,94904,300000
"Bharat Institute of Technology - [BIT], Meerut",7.1,95000,250000
"Shree Devi Institute of Technology - [SDIT], Mangalore",7.1,100000,3200000
"Sant Baba Bhag Singh University - [SBBSU], Jalandhar",7.1,103300,1600000
"Giani Zail Singh Campus College of Engineering and Technology - [GZSCCET], Bathinda",7.1,104100,1200000
"Shri Ram Group of Colleges - [SRGC], Muzaffarnagar",7.1,104900,1100000
