clg_name,rating,fees,pkg
"Saranathan College of Engineering - [SCE], Tiruchirappalli",8.0,65000,700000
"Nanasaheb Mahadik College of Engineering - [NMCE], Sangli",8.0,65000,3722000
"Lakhmi Chand Institute of Technology - [LCIT], Bilaspur",8.0,68000,797000
"Gayatri Vidya Parishad College of Engineering, Visakhapatnam",8.0,69000,900000
"ITM Vocational University - [ITMVU], Vadodara",8.0,69500,4500000
"Prasad V. Potluri Siddhartha Institute of Technology - [PVPSIT], Vijayawada",8.0,70000,8500000
"Aditya Engineering College - [AEC], East Godavari",8.0,72000,1300000
"Eshan Group of Institution, Agra",8.0,72000,450000
"Yamuna Group Of Institutions - [YGI], Yamuna Nagar",8.0,72500,420000
"Himachal Institute of Engineering and Technology - [HIET], Kangra",8.0,73000,790000
"SR Group of Institutions - [SRGI], Jhansi",8.0,73100,900000
"Sardar Vallabhbhai Patel Institute of Technology - [SVIT] Vasad, Anand",8.0,74000,9000000
"Rakshpal Bahadur College of Engineering & Technology - [RBCET], Bareilly",8.0,75000,314000
"Karpagam College of Engineering - [KCE], Coimbatore",8.0,75500,350000
"PES College of Engineering - [PESCE], Mandya",8.0,76800,450000
"GGS College of Modern Technology, Mohali",8.0,83800,500000
"Institute of Engineering and Technology - [IETR], Alwar",8.0,84500,900000
"Vaagdevi College of Engineering - [VCOE], Warangal",8.0,86000,436000
"Ramaiah Institute of Technology - [RIT], Bangalore",8.0,86226,5833000
"Bengal College of Engineering and Technology - [BCET], Durgapur",8.0,86900,1500000
"RKDF University, Ranchi",8.0,90000,2800000
"Sanskar Educational Group - [SEG], Ghaziabad",8.0,90000,480000
"Veer Surendra Sai University of Technology - [VSSUT], Burla",8.0,91280,1200000
"BRCM College of Engineering and Technology - [BRCMCET], Bhiwani",8.0,91400,1000000
"Christ College of Engineering - [CCEIJK] Irinjalakuda, Thrissur",8.0,96000,180000
"Dayananda Sagar Academy of Technology and Management - [DSATM], Bangalore",8.0,97306,2500000
"ITM SLS Baroda University, Vadodara",8.0,98000,1200000
"Sinhgad Institute of Technology and Science -[SITS] Narhe, Pune",8.0,98000,275000
"NMAM Institute of Technology - [NMAMIT], Udupi",8.0,100000,4300000
"St. Peter's Institute of Higher Education and Research - [SPIHER], Chennai",8.0,100000,1453000
"Progressive Education Society's Modern College of Engineering - [MCOE], Pune",8.0,104986,420000
"Jagran Lakecity University - [JLU], Bhopal",8.0,105000,2700000
"Maharana Pratap Engineering College - [MPEC], Kanpur",8.0,105450,600000
"Manakula Vinayagar Institute of Technology - [MVIT], Pondicherry",8.0,107000,400000
"Datta Meghe College of Engineering Airoli, Navi Mumbai",8.0,108489,4400000
"Techno International - Batanagar, South 24 Parganas",8.0,108800,320000
"RNB Global University - [RNBGU], Bikaner",8.0,115000,6378000
"Laxminarayan Institute of Technology - [LIT], Nagpur",8.0,115000,350000
"HMR Institute of Technology & Management - [HMRITM], New Delhi",8.0,115800,3200000
"City Engineering College - [CEC], Bangalore",8.0,117000,480000
"Usha Mittal Institute of Technology - [UMIT], Mumbai",8.0,117061,900000
"Eternal University - [EU], Sirmaur",8.0,118000,1000000
"Lakshmi Narain College of Technology - [LNCT], Bhopal",8.0,119400,4500000
"Rama University, Kanpur",8.0,125000,810000
"Bharati Vidyapeeth College of Engineering For Women, Pune",8.0,126966,550000
"Poornima University - [PU], Jaipur",8.0,127500,2100000
"ICFAI University, West Tripura",8.0,130000,600000
"RCC Institute of Information Technology - [RCCIIT], Kolkata",8.0,133200,1000000
"DAV University, Jalandhar",8.0,136000,5700000
"ABES Engineering College, Ghaziabad",8.0,136600,14000000
"K.K. Wagh Institute of Engineering Education & Research - [KKWIEER], Nashik",8.0,138225,800000
"Gokaraju Rangaraju Institute of Engineering and Technology - [GRIET], Hyderabad",8.0,138500,30000000
"Integral University, Lucknow",8.0,140000,3700000
"Narula Institute of Technology - [NIT Agarpara], Kolkata",8.0,141994,1187000
"Pimpri Chinchwad College of Engineering - [PCCOE], Pune",8.0,146086,7250000
"Vasantdada Patil Pratishtan's College of Engineering & Visual Arts, Mumbai",8.0,146205,400000
"Maulana Azad National Institute of Technology - [MANIT], Bhopal",8.0,154000,750000
"Thakur College of Engineering and Technology - [TCET], Mumbai",8.0,158376,5200000
"Indian Institute of Information Technology Design and Manufacturing - [IIITDM], Jabalpur",8.0,158940,450000
"Darshan University - [DU], Rajkot",8.0,160000,340000
"Sardar Vallabhbhai National Institute of Technology - [SVNIT], Surat",8.0,169000,760000
"Institute of Engineering and Management - [IEM], Kolkata",8.0,178400,5130000
"National Institute of Technology - [NIT], Jamshedpur",8.0,188000,400000
"Saveetha Engineering College - [SEC], Chennai",8.0,200000,3600000
"BMS Institute of Technology and Management - [BMSIT], Bangalore",8.0,200000,396000
"SKR Engineering College, Chennai",8.0,200000,3500000
"Don Bosco Institute of Technology - [DBIT], Bangalore",8.0,200000,300000
"VIT Bhopal University, Bhopal",8.0,201000,2100000
"Punjab Engineering College University of Technology - [PEC], Chandigarh",8.0,207000,12500000
"ITM University, Gwalior",8.0,207000,5500000
"Graphic Era Hill University Bhimtal Campus - [GEHU], Bhimtal",8.0,210500,450000
"Presidency University, Bangalore",8.0,225000,1000000
"Rajeev Institute of Technology - [RIT], Hassan",8.0,235000,320000
"Indian Institute of Information Technology - [IIIT], Pune",8.0,235700,4350000
"Malnad College of Engineering - [MCE], Hassan",8.0,238000,2000000
"Jaypee University of Information Technology - [JUIT], Solan",8.0,241000,20200000
"Vel Tech Rangarajan Dr. Sagunthala R and D Institute of Science and Technology - [Vel Tech], Chennai",8.0,250000,324409
"K L University - [KLH], Hyderabad",8.0,265000,630000
"Jaypee Institute of Information Technology University - [JIIT], Noida",8.0,269500,1259000
"SVKM's Narsee Monjee Institute of Management Studies - [NMIMS University], Navi Mumbai",8.0,275000,475000
"Maria College of Engineering and Technology - [MCET], Kanyakumari",8.0,280000,244000
"Saroj Mohan Institute of Technology - [SMIT], Hooghly",8.0,295000,380000
"PES University - [PESU], Bangalore",8.0,350000,1606000
"The LNM Institute of Information Technology - [LNMIIT], Jaipur",8.0,374800,480000
"Chandigarh Group of Colleges - [CGC] Landran, Mohali",8.0,471000,4000000
"Presidency University, Kolkata",8.1,,680000
"Institute of Wood Science and Technology - [IWST], Bangalore Rural",8.1,,1100000
"PCTE Group of Institutes, Ludhiana",8.1,,2512000
"Faculty of Technology and Engineering, Maharaja Sayajirao University of Baroda, Vadodara",8.1,7640,2580000
"Government College of Technology - [GCT], Coimbatore",8.1,9180,6200000
"Government College Of Engineering Sengipatti, Thanjavur",8.1,9430,2100000
"Gurugram University, Gurgaon",8.1,40000,3000000
"JNTUH College of Engineering Sultanpur - [JNTUHCES], Sangareddy",8.1,40500,920000
"Narayana Engineering College - [NEC], Nellore",8.1,40800,700000
"The National Institute of Engineering - [NIE], Mysore",8.1,44090,3150000
"Sri Krishna College of Engineering and Technology - [SKCET], Coimbatore",8.1,50000,1018000
"Andhra Loyola Institute of Engineering - [ALIET], Vijayawada",8.1,50200,470000
"RMK Engineering College - [RMKEC], Thiruvallur",8.1,55000,4400000
"PERI Institute of Technology - [PERIT], Chennai",8.1,55000,4491000
"Chettinad College of Engineering and Technology - [CCET], Karur",8.1,55000,314000
"Bethlahem Institute of Engineering, Kanyakumari",8.1,55000,325000
"Trichy Engineering College - [TEC], Tiruchirappalli",8.1,60000,400000
"Kathir College of Engineering, Coimbatore",8.1,60000,1250000
"Nanhi Pari Seemant Engineering Institute - [NPSEI], Pithoragarh",8.1,60400,1000000
"Hasmukh Goswami College of Engineering - [HGCE], Ahmedabad",8.1,61000,360000
"Institute of Technology & Management - [ITM], Lucknow",8.1,67400,550000
"Delhi Technical Campus - [DTC], Jhajjar",8.1,69500,1150000
"YBN University - [YBN], Ranchi",8.1,69600,3200000
"Raghu Engineering College - [REC], Visakhapatnam",8.1,69700,2400000
"Lakireddy Bali Reddy College of Engineering - [LBRCE], Krishna",8.1,69700,4160000
"MEA Engineering College- [MEAEC], Malappuram",8.1,75000,300000
"Institute Technology & Management - [ITM], Gwalior",8.1,77000,646000
"Ganga Group of Institutions - [GGI], New Delhi",8.1,78000,1100000
"Institute of Advanced Studies in Education - [IASE University], Sardarshahr",8.1,79400,2400000
"Seacom Skills University - [SSU], Birbhum",8.1,82000,9100000
"Smt. Indira Gandhi College of Engineering - [SIGCE], Navi Mumbai",8.1,85660,450000
"Baba Banda Singh Bahadur Engineering College - [BBSBEC], Fatehgarh Sahib",8.1,90000,2800000
"Shobhit University, Gangoh",8.1,91100,1800000
"Acharya Institute of Technology - [AIT], Bangalore",8.1,91296,470000
"Dayananda Sagar College of Engineering - [DSCE], Bangalore",8.1,91796,4500000
"CGC College of Engineering - [CGC COE] Landran, Mohali",8.1,96500,2400000
"GLS University, Ahmedabad",8.1,100000,5400000
"Jagannath University, Jaipur",8.1,100000,4550000
"Arka Jain University, Jamshedpur",8.1,100000,4500000
"Keshav Memorial Institute of Technology - [KMIT], Hyderabad",8.1,111500,560000
"St. Thomas College of Engineering and Technology - [STCET], Kolkata",8.1,112200,550000
"Moradabad Institute of Technology - [MIT], Moradabad",8.1,114575,5100000
"Bahra University - [BU], Solan",8.1,115000,3500000
"GSFC University, Vadodara",8.1,116250,13000000
"Nitte University - [NITTE], Mangalore",8.1,120000,500000
"Aditya Engineering College - [AEC], Beed",8.1,120000,1200000
"Jaipur National University - [JNU], Jaipur",8.1,122000,507000
"Centurion University of Technology and Management - [CUTM], Vizianagaram",8.1,125000,1900000
"Vivekanand Education Society Institute of Technology - [VESIT], Mumbai",8.1,125306,800000
"Mepco Schlenk Engineering College, Sivakasi",8.1,134000,5300000
"Atharva College of Engineering, Mumbai",8.1,134126,600000
"Indian Institute of Information Technology Design & Manufacturing - [IIITDM], Chennai",8.1,135100,2400000
"Don Bosco Institute of Technology - [DBIT], Mumbai",8.1,135853,1000000
"Parul University, Vadodara",8.1,137800,36700000
"Vardhaman College of Engineering - [VCE], Hyderabad",8.1,140000,2800000
"Indian Institute of Engineering Science and Technology - [IIEST] Shibpur, Howrah",8.1,142000,500000
"Tontadarya College of Engineering, Gadag",8.1,143748,420000
"The Neotia University - [TNU], Kolkata",8.1,146000,3450000
"Visvesvaraya National Institute of Technology - [VNIT], Nagpur",8.1,149200,4608000
"National Institute of Technology - [NIT], Agartala",8.1,150550,619000
"Amity University, Jaipur",8.1,152000,3200000
"Jaypee University Anoopshahr, Bulandshahr",8.1,155000,1000000
"Shri Ramdeobaba College of Engineering and Management - [RCOEM], Nagpur",8.1,165500,5200000
"Sardar Patel Institute of Technology - [SPIT], Mumbai",8.1,172804,8536000
"Sharda University - [SU], Greater Noida",8.1,180000,300000
"Sasurie College of Engineering - [SCE], Tiruppur",8.1,200000,350000
"Gojan School of Business and Technology - [GSBT], Chennai",8.1,200000,202345
"Asan Memorial College of Engineering and Technology - [AMCET], Kanchipuram",8.1,200000,145000
"Faculty of Engineering and Technology, Jain University - [FET JU], Bangalore",8.1,210000,863000
"Indian Institute of Information Technology - [IIIT], Ranchi",8.1,214000,693000
"Karunya Institute of Technology and Sciences - [Karunya Deemed University], Coimbatore",8.1,218500,2700000
"JECRC University - [JU], Jaipur",8.1,220000,1400000
"Indian Maritime University - [IMU], Chennai",8.1,225000,3425000
"SRM University Sikkim, Gangtok",8.1,225000,360000
"Indian Maritime University - [IMU], Kolkata",8.1,225000,4564000
"Siksha 'O' Anusandhan University - [SOA], Bhubaneswar",8.1,235000,1240000
"Brindavan College of Engineering - [BCE], Bangalore",8.1,235000,1000000
"SRM Institute of Science and Technology - [SRMIST], Chennai",8.1,250000,3000000
"Pandit Deendayal Energy University - [PDEU], Gandhinagar",8.1,259000,1000000
"Konark Institute of Science and Technology - [KIST], Bhubaneswar",8.1,272000,2400000
"JK Lakshmipat University - [JKLU], Jaipur",8.1,275000,5600000
"IAMR Group of Institutions - [IAMR], Ghaziabad",8.1,280000,425000
"BML Munjal University - [BMU], Gurgaon",8.1,300000,8820000
"National Institute of Technology - [NITC], Calicut",8.1,308255,8300000
"Amity University, Noida",8.1,311000,5575000
"Sikkim Manipal University - [SMU], East Sikkim",8.1,325000,3500000
"CMR Institute of Technology - [CMRIT], Bangalore",8.1,334000,1100000
"University of Petroleum and Energy Studies - [UPES], Dehradun",8.1,352000,950000
"Amritsar College of Engineering and Technology - [ACET], Amritsar",8.1,403024,350000
"K. J. Somaiya College of Engineering - [KJSCE], Mumbai",8.1,432000,615000
"Brainware University, Kolkata",8.1,464600,2400000
"Assam Science and Technology University - [ASTU], Guwahati",8.2,,5000000
"Bakhtiyarpur College of Engineering - [BCE], Patna",8.2,,4400000
"G L Bajaj Institute of Technology and Management, Greater Noida",8.2,,3000000
"Delhi Institute of Tool Engineering - [DITE], New Delhi",8.2,,500000
"Government Engineering College - [GEC], Modasa",8.2,1500,1000000
"Government College of Engineering - [GCE], Kannur",8.2,7600,400000
"Jamia Millia Islamia University-[JMI], New Delhi",8.2,16150,1701000
"Tamil Nadu Veterinary and Animal Sciences University - [TANUVAS], Chennai",8.2,21415,1826000
"Darbhanga College of Engineering - [DCE], Darbhanga",8.2,29130,400000
"Central Institute of Petrochemicals Engineering & Technology - [CIPET], Chennai",8.2,31950,1000000
"College of Engineering- [CEC] Cherthala, Alappuzha",8.2,35000,1200000
"RV Institute of Technology, Guntur",8.2,35000,400000
"Sai Ganapathi Engineering College, Visakhapatnam",8.2,35000,1000000
"Madras Institute of Technology- [MIT], Chennai",8.2,46060,3251000
"Sri Sairam Engineering College, Chennai",8.2,50000,2500000
"National Engineering College - [NEC], Thoothukkudi",8.2,50000,4400000
"Providence College of Engineering, Chengannur",8.2,50000,350000
"Angel College of Engineering and Technology - [ACET], Tiruppur",8.2,50000,300000
"Dayalbagh Educational Institute Faculty of Engineering, Agra",8.2,51300,1146000
"College of Engineering Pathanapuram, Pathanamthitta",8.2,53450,1000000
"Sri Ramakrishna Engineering College - [SREC], Coimbatore",8.2,55000,19500000
"Sree Sowdambika College of Engineering - [SSCE], Virudhunagar",8.2,55000,280000
"APS College of Engineering - [APS], Bangalore",8.2,56000,240000
"College of Engineering Aranmula, Pathanamthitta",8.2,56355,1500000
"Panimalar Engineering College, Chennai",8.2,60000,5500000
"Radha Govind University - [RGU], Ramgarh",8.2,60000,550000
"Sunder Deep Group of Institutions - [SDGI], Ghaziabad",8.2,60000,700000
"Manipur Technical University - [MTU], Imphal",8.2,63000,546000
"Mahaveer Institute of Science and Technology- [MIST], Hyderabad",8.2,66000,280000
"Sriram Engineering College - [SEC], Thiruvallur",8.2,67700,350000
"Madanapalle Institute of Technology & Science -[MITS], Madanapalle",8.2,69800,1000000
"Shivajirao Kadam Group of Colleges, Indore",8.2,70000,250000
"Raajdhani Engineering College - [REC], Bhubaneswar",8.2,72000,250000
"Shri Shankaracharya Institute of Professional Management and Technology - [SSIPMT], Raipur",8.2,72230,240000
"RVR and JC College of Engineering, Guntur",8.2,73400,733000
"ILahia College of Engineering and Technology - [ICET], Muvattupuzha",8.2,75000,1360000
"Cochin Institute of Science and Technology - [CISAT], Muvattupuzha",8.2,75000,1320000
"Federal Institute of Science and Technology - [FISAT], Ernakulam",8.2,75100,851000
"Bhagwant University, Ajmer",8.2,84500,1300000
"Jaipur Engineering College - [JEC], Jaipur",8.2,85000,1950000
"Sri Venkateswara College of Engineering - [SVCE], Sriperumbudur",8.2,85200,1310000
"Cochin University of Science and Technology, School of Engineering -[SOE] Thrikkakara, Ernakulam",8.2,86040,1041000
"KGISL Institute of Technology - [KITE], Coimbatore",8.2,87200,800000
"Rajasthan College of Engineering for Women - [RCEW], Jaipur",8.2,87498,360000
"University of Engineering and Management - [UEM], Jaipur",8.2,100000,1500000
"PA College of Engineering - [PACE], Mangalore",8.2,100000,5800000
"Technocrats Institute of Technology - [TIT], Bhopal",8.2,100000,600000
"Amrita Vishwa Vidyapeetham Amritapuri Campus, Kollam",8.2,100000,1719000
"Alva's Institute of Engineering and Technology, Mangalore",8.2,100000,500000
"Institute of Aeronautical Engineering - [IARE], Hyderabad",8.2,101000,1957000
"Centurion University of Technology and Management - [CUTM], Paralkhemundi",8.2,105000,3600000
"DKTE Society's Textile and Engineering Institute - [DKTE], Kolhapur",8.2,106000,575000
"Shobhit University, Meerut",8.2,110000,2700000
"MLR Institute of Technology - [MLRIT], Hyderabad",8.2,110000,1500000
"CVR College of Engineering, Ibrahimpatnam, Rangareddy",8.2,115000,1000000
"Kakatiya Institute of Technology & Science - [KITSW], Warangal",8.2,125000,3400000
"Modern Vidya Niketan - [MVN University], Palwal",8.2,128000,945000
"Pillai College of Engineering - [PCE] Navi Mumbai, Mumbai",8.2,130000,425000
"AISSMS College of Engineering - [AISSMSCOE], Pune",8.2,136000,1300000
"Shri Ramswaroop Memorial University - [SRMU], Lucknow",8.2,137000,900000
"Dev Bhoomi Uttarakhand University - [DBUU], Dehradun",8.2,150000,500000
"Maharishi University of Information Technology -[MUIT], Noida",8.2,150000,900000
"NIT Silchar, Silchar",8.2,154500,900000
"National Institute of Technology - [NIT], Kurukshetra",8.2,159500,2140000
"Fr. Conceicao Rodrigues College of Engineering - [CRCE], Mumbai",8.2,162000,420000
"Yeshwantrao Chavan College of Engineering - [YCCE], Nagpur",8.2,163801,4200000
"National Institute of Technology - [NIT], Hamirpur",8.2,180200,1036000
"Chaitanya Bharathi Institute of Technology - [CBIT], Hyderabad",8.2,186733,850000
"Amity University, Kolkata",8.2,188000,1800000
"Dwarkadas J Sanghvi College of Engineering - [DJSCE], Mumbai",8.2,194000,600000
"VIT University - [VIT- AP], Guntur",8.2,198000,4600000
"Christ the King Engineering College, Coimbatore",8.2,200000,960000
"Sri Sairam Institute of Technology - [SSIT], Chennai",8.2,202000,750000
"National Institute of Food Technology Entrepreneurship and Management - [NIFTEM], Sonepat",8.2,203550,5000000
"Amity University, Gwalior",8.2,208000,2400000
"Delhi Technological University - [DTU], New Delhi",8.2,219000,1750000
"Indian Institute of Information Technology - [IIIT], Agartala",8.2,220550,350000
"XIM University, Bhubaneswar",8.2,223000,300000
"Institute of Technical Education and Research - [ITER], Bhubaneswar",8.2,235000,750000
"East West College of Engineering - [EWCE], Bangalore",8.2,235000,600000
"IIT Bhilai - Indian Institute of Technology - [IITB], Bhilai",8.2,236000,1015000
"Graphic Era University, School of Engineering and Technology - [GEU], Dehradun",8.2,236400,15100000
"Lovely Professional University - [LPU], Jalandhar",8.2,240000,3305000
"Aligarh Muslim University - [AMU], Aligarh",8.2,269445,6000000
"Keystone School Of Engineering, Pune",8.2,320000,125000
"Mukesh Patel School of Technology Management and Engineering - [MPSTME], Mumbai",8.2,350000,1155000
"MCKV Institute of Engineering - [MCKVIE], Kolkata",8.2,400000,1500000
"Pranveer Singh Institute of Technology - [PSIT], Kanpur",8.2,540000,225000
"L.D. College of Engineering - [LDCE], Ahmedabad",8.3,800,650000
"Government Engineering College - [GEC], Banaskantha",8.3,1500,80000
"Thanthai Periyar Government Institute of Technology - [TPGIT], Vellore",8.3,6455,540000
"TKM College of Engineering - [TKMCE], Kollam",8.3,8410,550000
"Rajadhani Institute of Science and Technology - [RIST], Palakkad",8.3,35000,454000
"College of Engineering Poonjar, Kottayam",8.3,35000,800000
"Sri Venkateswara College of Engineering - [SVCE], Tirupati",8.3,38500,420000
"GB Pant Delhi Skill and Entrepreneurship University, Okhla-I Campus, New Delhi",8.3,40000,2400000
"Rajiv Gandhi College of Engineering and Technology, Pondicherry",8.3,40000,470000
"Udaya School of Engineering - [USE], Kanyakumari",8.3,40000,490000
"Sanketika Vidya Parishad Engineering College, Visakhapatnam",8.3,41000,240000
"National Institute of Foundry & Forge Technology - [NIFFT], Ranchi",8.3,47450,1495000
"CMJ University, Ri-Bhoi",8.3,50000,5300000
"Sethu Institute of Technology, Kariapatti",8.3,50000,580000
"SCAD College of Engineering and Technology - [SCAD CET], Tirunelveli",8.3,50000,406000
"Kallam Haranadhareddy Institute of Technology - [KHIT], Guntur",8.3,50200,2500000
"Kongu Engineering College - [KEC], Erode",8.3,55000,5820000
"Chennai Institute of Technology - [CIT], Chennai",8.3,55000,2200000
"Swami Vivekanand College of Engineering - [SVCE], Indore",8.3,58500,1000000
"St. Joseph College Of Engineering, Kanchipuram",8.3,60000,500000
"Narasaraopeta Engineering College - [NEC], Guntur",8.3,60400,1000000
"Chadalawada Ramanamma Engineering College - [CREC], Tirupati",8.3,63000,1755000
"Malwa Institute of Technology - [MIT], Indore",8.3,64200,480000
"Gudlavalleru Engineering College - [GEC], Krishna",8.3,65000,1200000
"Dr. Sivanthi Aditanar College of engineering - [SACOE], Tiruchendur",8.3,65000,380000
"Sagi Ramakrishnam Raju Engineering College - [SRKR ], Bhimavaram",8.3,70000,2500000
"Velagapudi Ramakrishna Siddhartha Engineering College - [VRSEC], Vijayawada",8.3,71050,3200000
"Saintgits College of Engineering, Kottayam",8.3,75000,350000
"Chhatrapati Shivaji Institute of Technology - [CSIT], Durg",8.3,75000,1200000
"Delhi Engineering College, Faridabad",8.3,75000,400000
"RK University - [RKU], Rajkot",8.3,76500,1800000
"Shree Swami Atmanand Saraswati Institute of Technology - [SSASIT], Surat",8.3,76500,1400000
"R.R. Group of Institutions - [RRGI], Lucknow",8.3,79700,850000
"LNCT University - [LNCTU], Bhopal",8.3,80000,1410000
"Kamala Institute of Technology & Science- [KITS], Karimnagar",8.3,80000,350000
"Walchand College of Engineering - [WCE], Sangli",8.3,84935,400000
"Institute of Bioinformatics and Biotechnology - [IBB], Pune",8.3,85787,400000
"Cochin University College of Engineering Kuttanad - [CUCEK], Alappuzha",8.3,88890,450000
"Maharaja Ranjit Singh Punjab Technical University, Bathinda",8.3,89600,1500000
"Jansons Institute of Technology - [JIT], Coimbatore",8.3,92500,300000
"Chandigarh Group of Colleges - [CGC] Jhanjeri, Mohali",8.3,96500,4300000
"Chandigarh Engineering College - [CEC] Landran, Mohali",8.3,96500,350000
"Invertis University, Bareilly",8.3,100000,450000
"Kumaraguru College of Technology - [KCT], Coimbatore",8.3,100200,650000
"University School of Information, Communication and Technology - [USICT], New Delhi",8.3,102000,450000
"Aryans Group of Colleges, Chandigarh",8.3,103000,192000
"Sri Guru Granth Sahib World University - [SGGSWU], Fatehgarh Sahib",8.3,104000,340000
"Hooghly Engineering and Technology College - [HETC], Hooghly",8.3,105600,300000
"Muffakham Jah College of Engineering & Technology - [MJCET], Hyderabad",8.3,110000,560000
"Tula's Institute, Dehradun",8.3,110600,1800000
"Marwadi University - [MU], Rajkot",8.3,115000,1660000
"Vignan's Foundation for Science, Technology, and Research, Guntur",8.3,120000,1243000
"ICFAI University, Jaipur",8.3,120000,300000
"Mangalmay Institute of Management and Technology - [MIMT], Greater Noida",8.3,120000,250000
"Indraprastha Institute of Technology and Management - [IITM], New Delhi",8.3,125000,625000
"Shri Venkateshwara University - [SVU], Amroha",8.3,125000,180000
"Christ University, Bangalore",8.3,165000,4975000
"Indian Institute of Information Technology - [IIIT], Surat",8.3,166000,11200000
"National Institute of Technology - [NIT], Rourkela",8.3,178000,1300000
"Vellore Institute of Technology - [VIT University], Vellore",8.3,198000,1000000
"SSN College of Engineering - [SSNCE], Chennai",8.3,200000,10200000
"BGS Institute of Technology - [BGSIT], Mandya",8.3,200000,550000
"MKSSS's Cummins College of Engineering for Women, Pune",8.3,207265,3050000
"Institute of Technology, Nirma University, Ahmedabad",8.3,221200,850000
"Nirma University - [NU], Ahmedabad",8.3,221200,970000
"IIT Bhubaneswar - Indian Institute of Technology - [IITBBS], Bhubaneswar",8.3,221290,350000
"Reva Institute of Technology and Management - [RITM], Bangalore",8.3,225000,8500000
"Indian Institute of Information Technology [IIIT], Kottayam",8.3,230450,700000
"IIT Mandi- Indian Institute of Technology - [IITM], Mandi",8.3,234750,1700000
"School of Engineering and Technology, NCU - [SOET], Gurgaon",8.3,268000,499000
"Symbiosis Institute of Technology - [SIT], Pune",8.3,280000,3200000
"Graphic Era University - [GEU], Dehradun",8.3,323400,750000
"GITAM, Hyderabad",8.3,329500,5800000
"Manipal University - [MUJ], Jaipur",8.3,334000,2900000
"Manipal Academy of Higher Education - [MAHE], Manipal",8.3,335000,400000
"CEPT University, Ahmedabad",8.3,348800,500000
"BMS College of Engineering - [BMSCE], Bangalore",8.3,350000,4160000
"SDM College of Engineering and Technology - [SDMCET], Dharwad",8.3,350000,200000
"International Institute of Information Technology - [IIIT], Hyderabad",8.3,360000,2523000
"Woxsen University, Hyderabad",8.3,372500,20000000
"K. C. College of Engineering And Management Studies And Research, Thane",8.3,390000,1200000
"Sri Jayachamarajendra College of Engineering - [SJCE], Mysore",8.3,475000,3078000
"ICFAI University, Dehradun",8.3,480000,3200000
"Madha Engineering College, Chennai",8.4,,240000
"KVASU, College of Dairy Science and Technology Mannuthy - [CDST], Thrissur",8.4,,1200000
"College of Engineering, Anna University - [CEG], Chennai",8.4,31060,3037000
"Parala Maharaja Engineering College - [PMEC], Berhampur",8.4,33400,750000
"University College of Engineering, Osmania University - [UCE], Hyderabad",8.4,35000,4600000
"Guntur Engineering College - [GEC], Guntur",8.4,35000,300000
"Saveetha School of Engineering - [SSE], Chennai",8.4,45000,5300000
"VSB Engineering College - [VSBEC], Karur",8.4,45000,334000
"Shri Krishna University - [SKU], Chhatarpur",8.4,46000,600000
"College of Engineering, Thiruvananthapuram",8.4,50000,6400000
"Sri Shakthi Institute of Engineering and Technology - [SIET], Coimbatore",8.4,50000,350000
"JCT College of Engineering and Technology, Coimbatore",8.4,50000,1000000
"Sardar Patel University - [SPUBGT], Balaghat",8.4,51500,350000
"Vignan Institute of Technology And Management, Berhampur",8.4,58000,4200000
"Vinayaka Missions University - [VMU], Salem",8.4,60000,1700000
"Sai Spurthi Institute of Technology - [SSIT], Khammam",8.4,62000,320000
"Camellia School of Engineering and Technology - [CSET], Kolkata",8.4,63000,1200000
"Sandip University, Madhuban",8.4,65000,550000
"Annamacharya Institute of Technology and Science - [AITS], Rajampet",8.4,68700,325000
"Acropolis Group of Institutions, Indore",8.4,73600,860000
"Bannari Amman Institute of Technology - [BIT], Sathyamangalam",8.4,75000,2539000
"G. Pulla Reddy Engineering College - [GPREC], Kurnool",8.4,80000,4200000
"Devprayag Institute of Technical Studies - [DITS], Allahabad",8.4,80500,450000
"Atmiya University, Rajkot",8.4,81000,4600000
"B.S. Abdur Rahman Crescent Institute of Science & Technology - [BSAU], Chennai",8.4,85000,6400000
"KLE Technological University, Hubli",8.4,89473,700000
"SAGE University, Bhopal",8.4,90000,2000000
"Srinivas University, Mangalore",8.4,90000,1350000
"Geeta Engineering College - [GEC], Panipat",8.4,91000,450000
"Vidya Pratishthan's Kamalnayan Bajaj Institute of Engineering and Technology - [VPKBIET] Baramati, Pune",8.4,96000,500000
"Karnavati University - [KU], Gandhinagar",8.4,107000,4300000
"Raj Kumar Goel Engineering College - [RKGEC], Ghaziabad",8.4,110000,840000
"United Institute of Technology - [UIT], Allahabad",8.4,112025,260000
"Shaheed Bhagat Singh State University - [SBSU], Firozpur",8.4,114434,2516000
"Indian Institute of Space Science and Technology - [IIST], Thiruvananthapuram",8.4,144900,2088000
"Sister Nivedita University - [SNU], Kolkata",8.4,149500,1800000
"GLA University, Mathura",8.4,171000,4650000
"University Institute of Engineering, Chandigarh University - [UIE], Chandigarh",8.4,177000,3200000
"Malaviya National Institute of Technology - [MNIT], Jaipur",8.4,177665,2300000
"NIT Trichy, Tiruchirappalli",8.4,178150,3000000
"International Institute of Information Technology - [IIIT] Naya Raipur, Raipur",8.4,180150,1000000
"Jawaharlal Nehru National College of Engineering - [JNNCE], Shimoga",8.4,190468,3500000
"Indian Institute of Information Technology - [IIIT], Tiruchirappalli",8.4,194750,4400000
"Sri Krishna College of Technology - [SKCT], Coimbatore",8.4,200000,1470000
